name,steam_appid,detailed_description,about_the_game,short_description,total_recommendations
Workaholic,2012270,"<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/workaholiclogo.png?t=1660556693"" /><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/workaholicgif.gif?t=1660556693"" /><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/wh-glitch-gif.gif?t=1660556693"" /><br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/aboutworkaholicgif.gif?t=1660556693"" /><br>A miserable existence at the lowest rung in life is not for you! Armed with only your own two hands and unshakeable determination, you won't stop until you reach the top.<br><br>Slaughter your way through a procedurally generated corporate building, weaponizing furniture, staplers and burnt toast, as well as more questionable contraptions, like the scammer and the KeyDoor, to reach your goal.<br><br>As you defeat the weird and murderous denizens of the building your salary and power increases, while the experience gets steadily more unsettling. Other realities start seeping through the cracks of both your strained psyche and the office landscape around you, as you ascend the skyscraper toward the showdown with the final boss.<br><br>Will you dominate the leaderboards by mastering the tower and taking down the boss, or will you end up face down in the gutter again?","<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/workaholiclogo.png?t=1660556693"" /><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/workaholicgif.gif?t=1660556693"" /><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/wh-glitch-gif.gif?t=1660556693"" /><br><br><br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012270/extras/aboutworkaholicgif.gif?t=1660556693"" /><br>A miserable existence at the lowest rung in life is not for you! Armed with only your own two hands and unshakeable determination, you won't stop until you reach the top.<br><br>Slaughter your way through a procedurally generated corporate building, weaponizing furniture, staplers and burnt toast, as well as more questionable contraptions, like the scammer and the KeyDoor, to reach your goal.<br><br>As you defeat the weird and murderous denizens of the building your salary and power increases, while the experience gets steadily more unsettling. Other realities start seeping through the cracks of both your strained psyche and the office landscape around you, as you ascend the skyscraper toward the showdown with the final boss.<br><br>Will you dominate the leaderboards by mastering the tower and taking down the boss, or will you end up face down in the gutter again?",Workaholic is a frantic rouge-lite FPS where you go on a rampage through a hellish office space as your grasp on reality crumbles.,0
Juicy Futa,2012290,"<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/steam_wishlist.jpg?t=1679556560"" /><h2 class=""bb_tag"">Welcome to Juicy Island!</h2><br>Juicy Futa is an open-world visual novel/dating-sim, set in a jazzy, black and white atmosphere.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/Eau_1_start_01.gif?t=1679556560"" /><br><br>You are Eliot, a horny Futa time traveler who gets lost on a very special island. You are stuck in the past and need to find a way back to your time.<br>Immerse yourself in the life of the islanders, get to know them, gain their trust, become their friends and maybe more...<br><br>You will have to help people and please them if you want to go home.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/8mFyzL.gif?t=1679556560"" /><br><br>Available features:<br><br><ul class=""bb_ul""><li>39 sex scenes with around 120 hand drawn animations<br></li><li>Characters stats : mood, trust, lust, love… watch the characters you’re talking to react to what you’re saying.<br></li><li>Sex scenes :  futaXfemale, maleXfuta, futaXmale, futaXfuta<br></li><li>23 characters to meet<br></li><li>20 achievements<br></li><li>Two village map with many places to visit :<br></li><li>JUICY ISLAND : Bar, shoe shop, fruit shop, police station, restaurant and the church<br></li><li>JUICIEST ISLAND : Main square, Statue, Gym,  Beach, Medical center and Motorshop, Library, Tiki bar, Hope's house<br></li><li>Your own house. Get souvenirs from your conquest and friends to decorate your house.<br></li><li>A week day and day/night events system + Nap/sleep system<br></li><li>A video gallery to watch the sex scenes as much as you want.</li></ul><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/TQjX9t.png?t=1679556560"" />","<img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/steam_wishlist.jpg?t=1679556560"" /><h2 class=""bb_tag"">Welcome to Juicy Island!</h2><br>Juicy Futa is an open-world visual novel/dating-sim, set in a jazzy, black and white atmosphere.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/Eau_1_start_01.gif?t=1679556560"" /><br><br>You are Eliot, a horny Futa time traveler who gets lost on a very special island. You are stuck in the past and need to find a way back to your time.<br>Immerse yourself in the life of the islanders, get to know them, gain their trust, become their friends and maybe more...<br><br>You will have to help people and please them if you want to go home.<br><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/8mFyzL.gif?t=1679556560"" /><br><br>Available features:<br><br><ul class=""bb_ul""><li>39 sex scenes with around 120 hand drawn animations<br></li><li>Characters stats : mood, trust, lust, love… watch the characters you’re talking to react to what you’re saying.<br></li><li>Sex scenes :  futaXfemale, maleXfuta, futaXmale, futaXfuta<br></li><li>23 characters to meet<br></li><li>20 achievements<br></li><li>Two village map with many places to visit :<br></li><li>JUICY ISLAND : Bar, shoe shop, fruit shop, police station, restaurant and the church<br></li><li>JUICIEST ISLAND : Main square, Statue, Gym,  Beach, Medical center and Motorshop, Library, Tiki bar, Hope's house<br></li><li>Your own house. Get souvenirs from your conquest and friends to decorate your house.<br></li><li>A week day and day/night events system + Nap/sleep system<br></li><li>A video gallery to watch the sex scenes as much as you want.</li></ul><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012290/extras/TQjX9t.png?t=1679556560"" />",A lewd Visual-Novel about Futas on an open island,0
Parallel Lab,2012320,"<h2 class=""bb_tag"">ABOUT THE PARALLEL LAB</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Parrot.gif?t=1676795949"" /><br><br>The Parallel Lab is a cooperative point-and-click escape room game for two players. Take on the roles of two detectives and use all your puzzle-solving skills to work together in this escape room adventure. It's up to you both to crack the codes, decipher the digits and unravel the mystery of the Cryptic Killer.<h2 class=""bb_tag"">THE STORY SO FAR</h2><br>After escaping from the Cryptic Killer's trap in the prequel <i>Unboxing the Mind of a Cryptic Killer,</i> detectives Old Dog and Ally are back on the case and hot on the heels of their twisted criminal nemesis. Their case leads to an old laboratory on the edge of town. There, a series of carefully laid puzzles await.<br><br>Are these new clues bringing the detectives one step closer to catching the Cryptic Killer, or another trap? One thing's for sure, they need to get out, and fast!<h2 class=""bb_tag"">COMMUNICATION IS KEY</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Social_Cooperative.gif?t=1676795949"" /><br><br>You cannot hope to escape from the Parallel Lab alone! Two brains are better than one to crack the Cryptic Killer's codes. Team up with a friend and both of you will navigate through separate screens and encounter opposite halves of the same puzzles.<br><br>The Parallel Lab will push your puzzle solving skills to the limit and communication is key.<br><br>🕹️ Navigate control panels to guide each other's movements<br>🧠 Combine your knowledge to solve challenging puzzles<br>🧩 Piece together torn documents to recover information across two screens<br>🎲 Push buttons, move controllers and play mini-games together to escape<br>🦜 Don't let the parrot raise the alarm!<h2 class=""bb_tag"">FEATURES LIST</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Bacteria.gif?t=1676795949"" /><br><br><ul class=""bb_ul""><li>Two Player Co-Op: In Parallel Lab, the detectives are separated. You’ll see different items and clues than your partner and will be tested on your communication!<br></li><li>Challenging Collaborative Puzzles: Two brains are better than one when it comes to cracking the Cryptic Killer's codes.<br></li><li>Unravel a Thrilling Story: Track the Cryptic Killer's movements as Detectives Old Dog and Ally in this ongoing murder mystery saga.<br></li><li>Explore Illustrated Worlds: Parallel Lab's hand illustrated environments are inspired by noir novels.<br></li><li>Draw on… Everything! You can't solve a case without taking notes. At any time in the game, you can whip out a notebook and pen to make notes and scribble on your environment.</li></ul><h2 class=""bb_tag"">MEET THE DETECTIVES</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/detectives.png?t=1676795949"" /><h2 class=""bb_tag"">MEET DETECTIVE ALLY</h2><br>Name: Allison Abernathy (&quot;Ally&quot; for short)<br>From: Glasgow, Scotland<br><br>Ally grew up in a police family and was always destined to sign up. A force to be reckoned with, when she puts her mind to something, nothing gets in her way.<br><br>But that streak of success came to a head when the case of the Cryptic Killer fell across her desk. Partnering with Polish detective, 'Old Dog' Kowalski, at first it seemed like just another day, another case, and another criminal to be caught…<br><br>But this case would prove to be different. Success would come at a far greater cost, lasting Detective Abernathy for decades to come. With a new lead and a new peril, old wounds are about to be reopened.<h2 class=""bb_tag"">MEET DETECTIVE OLD DOG</h2><br>Name: Steve &quot;Old Dog&quot; Kowalski<br>From: Krakow, Poland<br><br>Old Dog has an age beyond his years, older, wiser, and hardened by life. From an early age, he wanted to work in law enforcement and achieved his dreams as a young officer in the Polish police force.<br><br>His career followed success after success, that was until he was assigned a curious international case with Scottish detective 'Ally' to track down the Cryptic Killer. With the killer safely behind bars, something didn't quite feel right. That something has been nagging at Old Dog for decades since.<br><br>Essentially a loner, Old Dog spends his nights listening to Jazz and drinking whisky as he obsesses over the details of the old case. All but keeping him from spiraling is his partner Ally. Will this new break upset the careful balance?<h2 class=""bb_tag"">ABOUT ELEVEN PUZZLES</h2><br>Five friends from Scotland and Poland, brought together by a love of games and puzzles, decided to create an online escape room that would challenge, excite and entertain. Dozens of puzzles, hundreds of hours, thousands of coffee cups later, Eleven Puzzles was born and the Cryptic Killer series of digital escape rooms was published online. After being played by tens of thousands of escape room enthusiasts worldwide Eleven Puzzles have expanded the team, improved the series, and are bringing their long awaited, award-winning escape rooms to Steam.","<h2 class=""bb_tag"">ABOUT THE PARALLEL LAB</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Parrot.gif?t=1676795949"" /><br><br>The Parallel Lab is a cooperative point-and-click escape room game for two players. Take on the roles of two detectives and use all your puzzle-solving skills to work together in this escape room adventure. It's up to you both to crack the codes, decipher the digits and unravel the mystery of the Cryptic Killer.<h2 class=""bb_tag"">THE STORY SO FAR</h2><br>After escaping from the Cryptic Killer's trap in the prequel <i>Unboxing the Mind of a Cryptic Killer,</i> detectives Old Dog and Ally are back on the case and hot on the heels of their twisted criminal nemesis. Their case leads to an old laboratory on the edge of town. There, a series of carefully laid puzzles await.<br><br>Are these new clues bringing the detectives one step closer to catching the Cryptic Killer, or another trap? One thing's for sure, they need to get out, and fast!<h2 class=""bb_tag"">COMMUNICATION IS KEY</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Social_Cooperative.gif?t=1676795949"" /><br><br>You cannot hope to escape from the Parallel Lab alone! Two brains are better than one to crack the Cryptic Killer's codes. Team up with a friend and both of you will navigate through separate screens and encounter opposite halves of the same puzzles.<br><br>The Parallel Lab will push your puzzle solving skills to the limit and communication is key.<br><br>🕹️ Navigate control panels to guide each other's movements<br>🧠 Combine your knowledge to solve challenging puzzles<br>🧩 Piece together torn documents to recover information across two screens<br>🎲 Push buttons, move controllers and play mini-games together to escape<br>🦜 Don't let the parrot raise the alarm!<h2 class=""bb_tag"">FEATURES LIST</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/Bacteria.gif?t=1676795949"" /><br><br><ul class=""bb_ul""><li>Two Player Co-Op: In Parallel Lab, the detectives are separated. You’ll see different items and clues than your partner and will be tested on your communication!<br></li><li>Challenging Collaborative Puzzles: Two brains are better than one when it comes to cracking the Cryptic Killer's codes.<br></li><li>Unravel a Thrilling Story: Track the Cryptic Killer's movements as Detectives Old Dog and Ally in this ongoing murder mystery saga.<br></li><li>Explore Illustrated Worlds: Parallel Lab's hand illustrated environments are inspired by noir novels.<br></li><li>Draw on… Everything! You can't solve a case without taking notes. At any time in the game, you can whip out a notebook and pen to make notes and scribble on your environment.</li></ul><h2 class=""bb_tag"">MEET THE DETECTIVES</h2><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012320/extras/detectives.png?t=1676795949"" /><h2 class=""bb_tag"">MEET DETECTIVE ALLY</h2><br>Name: Allison Abernathy (&quot;Ally&quot; for short)<br>From: Glasgow, Scotland<br><br>Ally grew up in a police family and was always destined to sign up. A force to be reckoned with, when she puts her mind to something, nothing gets in her way.<br><br>But that streak of success came to a head when the case of the Cryptic Killer fell across her desk. Partnering with Polish detective, 'Old Dog' Kowalski, at first it seemed like just another day, another case, and another criminal to be caught…<br><br>But this case would prove to be different. Success would come at a far greater cost, lasting Detective Abernathy for decades to come. With a new lead and a new peril, old wounds are about to be reopened.<h2 class=""bb_tag"">MEET DETECTIVE OLD DOG</h2><br>Name: Steve &quot;Old Dog&quot; Kowalski<br>From: Krakow, Poland<br><br>Old Dog has an age beyond his years, older, wiser, and hardened by life. From an early age, he wanted to work in law enforcement and achieved his dreams as a young officer in the Polish police force.<br><br>His career followed success after success, that was until he was assigned a curious international case with Scottish detective 'Ally' to track down the Cryptic Killer. With the killer safely behind bars, something didn't quite feel right. That something has been nagging at Old Dog for decades since.<br><br>Essentially a loner, Old Dog spends his nights listening to Jazz and drinking whisky as he obsesses over the details of the old case. All but keeping him from spiraling is his partner Ally. Will this new break upset the careful balance?<h2 class=""bb_tag"">ABOUT ELEVEN PUZZLES</h2><br>Five friends from Scotland and Poland, brought together by a love of games and puzzles, decided to create an online escape room that would challenge, excite and entertain. Dozens of puzzles, hundreds of hours, thousands of coffee cups later, Eleven Puzzles was born and the Cryptic Killer series of digital escape rooms was published online. After being played by tens of thousands of escape room enthusiasts worldwide Eleven Puzzles have expanded the team, improved the series, and are bringing their long awaited, award-winning escape rooms to Steam.","Cooperation is key in this two-player escape room game. Communicate carefully and solve a series of twisted puzzles set by the devious &quot;Cryptic Killer&quot;... But no problem for two seasoned detectives like you, right?! Beat the clock, beat your captor and ESCAPE THE LAB. But hurry, time's ticking…",0
Witch Epoch,2012340,"A young Witch goes out on her favorite prank! Hunting monsters in the otherworld and with the help of her black magic, she will rid all the worlds of those who do not approve of her type of activity.<br />
<br />
Witch Epoch is a game about a Witch fighting in the otherworld with various monsters that are getting stronger every time, collecting colored bonuses the player can cause damage and if the color of the bonus matches the color of the monster's weakness, then he will receive maximum damage!<br />
<br />
Features of the game:<br />
- Complexity<br />
- Pixel Art<br />
- Atmosphere<br />
<br />
Control:<br />
Moving A/D<br />
Attack: Space","A young Witch goes out on her favorite prank! Hunting monsters in the otherworld and with the help of her black magic, she will rid all the worlds of those who do not approve of her type of activity.<br />
<br />
Witch Epoch is a game about a Witch fighting in the otherworld with various monsters that are getting stronger every time, collecting colored bonuses the player can cause damage and if the color of the bonus matches the color of the monster's weakness, then he will receive maximum damage!<br />
<br />
Features of the game:<br />
- Complexity<br />
- Pixel Art<br />
- Atmosphere<br />
<br />
Control:<br />
Moving A/D<br />
Attack: Space","Witch Epoch is a game about a Witch fighting in the otherworld with various monsters that are getting stronger every time, collecting colored bonuses the player can cause damage and if the color of the bonus matches the color of the monster's weakness, then he will receive maximum damage!",0
Under Siege 2,2012420,"&quot;Under Siege 2&quot; is a 2D top-down arena shooter. Immerse yourself in tank battles and defeat all enemies!<br><br>On every new level there will be more and more enemies and they will be more dangerous, so you can’t progress without upgrading your combat vehicle. By crushing enemies you will earn money that you can spend on upgrades your tank. Upgrade your armor to withstand more damage, upgrade your speed to increase maneuverability and dodge enemy projectiles, upgrade your weapons to deal more damage. Pick up bonuses that appear on the map: mines drive your enemies into a trap and they explode; penetrating projectile, breaks through obstacles, as well as through enemy tanks.<br><br><strong>Game Feauters:</strong><br><ul class=""bb_ul""><li> Nice visuals and OST<br></li><li> Easy and responsive controls<br></li><li> 20 challenging levels<br></li><li> Steam Achievements support<br></li><li> 4 types of enemy tanks with unique weapons</li></ul>","&quot;Under Siege 2&quot; is a 2D top-down arena shooter. Immerse yourself in tank battles and defeat all enemies!<br><br>On every new level there will be more and more enemies and they will be more dangerous, so you can’t progress without upgrading your combat vehicle. By crushing enemies you will earn money that you can spend on upgrades your tank. Upgrade your armor to withstand more damage, upgrade your speed to increase maneuverability and dodge enemy projectiles, upgrade your weapons to deal more damage. Pick up bonuses that appear on the map: mines drive your enemies into a trap and they explode; penetrating projectile, breaks through obstacles, as well as through enemy tanks.<br><br><strong>Game Feauters:</strong><br><ul class=""bb_ul""><li> Nice visuals and OST<br></li><li> Easy and responsive controls<br></li><li> 20 challenging levels<br></li><li> Steam Achievements support<br></li><li> 4 types of enemy tanks with unique weapons</li></ul>",&quot;Under Siege 2&quot; is a 2D top-down arena shooter. Immerse yourself in tank battles and defeat all enemies!,0
Gachi-Natsu/ガチムチでドスケベな家庭教師のお兄さんと過ごす夏,2012440,"<h2 class=""bb_tag"">Introduction</h2>It was a sweltering hot day when I met that man.<br><br>Ryota Hibiki failed the university entrance exam and is trying again.<br>His tutor, Atsushi Kenzaki, appears before him.<br><br>Atsushi says he will live at Ryota’s house during the summer vacation and teach him how to study.<br>Although surprised at this sudden turn of events, living together with a good-looking, stocky guy….<br>Ryota is excited that there may be a little joy in his life.<br><br>But! Atsushi was a cock-loving, energetic, maximalist, and dirty tutor!<br>Erotic things happen all the time!<br><br>What the hell is going to happen this summer!?<h2 class=""bb_tag"">Point</h2><u>Charming characters by Wasp!</u><br>The character design and original drawings for this work are by the talented illustrator Wasp!<br><br>The description of muscles and eroticism that even the temperature can be felt!<br>Please enjoy the erotic scenes that have been carefully selected.<br><br><u>No complicated system at all!</u><br>A branching story with many choices? A full-blown challenge? There are no such elements!<br><br>Enjoy the eroticism and story in a casual way! is the concept of this simple, one-way novel game.","<h2 class=""bb_tag"">Introduction</h2>It was a sweltering hot day when I met that man.<br><br>Ryota Hibiki failed the university entrance exam and is trying again.<br>His tutor, Atsushi Kenzaki, appears before him.<br><br>Atsushi says he will live at Ryota’s house during the summer vacation and teach him how to study.<br>Although surprised at this sudden turn of events, living together with a good-looking, stocky guy….<br>Ryota is excited that there may be a little joy in his life.<br><br>But! Atsushi was a cock-loving, energetic, maximalist, and dirty tutor!<br>Erotic things happen all the time!<br><br>What the hell is going to happen this summer!?<h2 class=""bb_tag"">Point</h2><u>Charming characters by Wasp!</u><br>The character design and original drawings for this work are by the talented illustrator Wasp!<br><br>The description of muscles and eroticism that even the temperature can be felt!<br>Please enjoy the erotic scenes that have been carefully selected.<br><br><u>No complicated system at all!</u><br>A branching story with many choices? A full-blown challenge? There are no such elements!<br><br>Enjoy the eroticism and story in a casual way! is the concept of this simple, one-way novel game.","It was a sweltering hot day when I met him. During summer vacation, a young man who had failed his university entrance exam received a tutor to help him with his studies. He started living together with a handsome, muscular man, but! He is a cock-loving, energetic, and dirty tutor!",0
CAT GAME🐱,2012450,"CAT GAME is a super cute game where you assemble the puzzle with cats. 20 puzzles in 4K resolution are exclusively for you. Enjoy this game and develop your mind together with beautiful cute cats :)<br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012450/extras/pwm.png?t=1655808003"" />","CAT GAME is a super cute game where you assemble the puzzle with cats. 20 puzzles in 4K resolution are exclusively for you. Enjoy this game and develop your mind together with beautiful cute cats :)<br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/2012450/extras/pwm.png?t=1655808003"" />",CAT GAME is a super cute game where you assemble the puzzle with cats.,0
The Katydids Incident,2012500,"Dexter is a 17 year old boy from New Orleans, he found an article online about a group called The Katydids. By further investigating he starts to solve riddles and puzzles created by this mysterious group and eventually finds out what is going on behind the internet curtain.<br />
The game is based around a virtual operating system, with programs and files to explore, the atmosphere is mysterious and scary.<br />
Solving the puzzles proposed by the Katydids requires you to explore, take notes and use your apps in your favor.<br />
The graphics are minimalistic to mimic modern operating systems and the content found in the game is inspired by real stories.","Dexter is a 17 year old boy from New Orleans, he found an article online about a group called The Katydids. By further investigating he starts to solve riddles and puzzles created by this mysterious group and eventually finds out what is going on behind the internet curtain.<br />
The game is based around a virtual operating system, with programs and files to explore, the atmosphere is mysterious and scary.<br />
Solving the puzzles proposed by the Katydids requires you to explore, take notes and use your apps in your favor.<br />
The graphics are minimalistic to mimic modern operating systems and the content found in the game is inspired by real stories.","There is a big discussion going on about a mysterious group named The Katydids proposing riddles and challenges on online forums, Are you clever enough to unravel the mystery of this obscure organization?",0
Aero Striker - World Invasion,2012520,"<strong>Aero Striker - World Invasion is an action-packed twist on our Aery series. </strong><br><br>The whole premise is to enjoy yourself and relax after a stressful day of work while shooting evil aliens that are trying to take over the world. <br><br>The game is a highly stylized action-packed flight combat simulator game that is intentionally designed to be easy to make it more enjoyable and less nerve-racking. Therefore, the aim is not to be challenging but to have fun making aliens explode while experiencing the sensation of flying. The game has been requested by a lot of our fans and you are now ready to fight the evil aliens in 5 different game modes and on more than 10 different maps.<br><br><strong>There are currently 5 game modes: </strong><br><ul class=""bb_ul""><li>Game Mode - Kill the unique enemy: After one minute of fighting you realize a golden enemy that just spawned on the ground. It is really fast but has a colorful trail behind it so it is very easy to find it. You hunt it down while dodging the attacks of the other enemies and while defeating the most dangerous enemies. After you defeat 3 golden enemies you win the round. <br></li><li>Game Mode - Score Attack: Kill as many aliens as possible and reach a new high score. <br></li><li>Game Mode - Gather Resources: In this mode, you need to find all hidden energy crystals that are hidden in the level. Also, don't die. <br></li><li>Game Mode - Boss Battle: After a while, a giant alien appears and wants to fight you. Defeat it as fast as possible! <br></li><li>Game Mode - Gate Defence: The aliens are retreating. Defeat them before they reach the stargate.<br></li><li></li></ul>","<strong>Aero Striker - World Invasion is an action-packed twist on our Aery series. </strong><br><br>The whole premise is to enjoy yourself and relax after a stressful day of work while shooting evil aliens that are trying to take over the world. <br><br>The game is a highly stylized action-packed flight combat simulator game that is intentionally designed to be easy to make it more enjoyable and less nerve-racking. Therefore, the aim is not to be challenging but to have fun making aliens explode while experiencing the sensation of flying. The game has been requested by a lot of our fans and you are now ready to fight the evil aliens in 5 different game modes and on more than 10 different maps.<br><br><strong>There are currently 5 game modes: </strong><br><ul class=""bb_ul""><li>Game Mode - Kill the unique enemy: After one minute of fighting you realize a golden enemy that just spawned on the ground. It is really fast but has a colorful trail behind it so it is very easy to find it. You hunt it down while dodging the attacks of the other enemies and while defeating the most dangerous enemies. After you defeat 3 golden enemies you win the round. <br></li><li>Game Mode - Score Attack: Kill as many aliens as possible and reach a new high score. <br></li><li>Game Mode - Gather Resources: In this mode, you need to find all hidden energy crystals that are hidden in the level. Also, don't die. <br></li><li>Game Mode - Boss Battle: After a while, a giant alien appears and wants to fight you. Defeat it as fast as possible! <br></li><li>Game Mode - Gate Defence: The aliens are retreating. Defeat them before they reach the stargate.<br></li><li></li></ul>",Aero Striker is a highly stylized action-packed flight combat simulator game that is intentionally designed to be easy to make it more enjoyable and less nerve-racking. The aim is to have fun making aliens explode while experiencing the sensation of flying. Let none of the evil aliens escape!,0
Hot Hentai,2012530,"<h1>💋 SOON 💋</h1><p><a href=""https://store.steampowered.com/app/2109380/Furry_Striptease/"" target=""_blank"" rel=""""  id=""dynamiclink_0"" >https://store.steampowered.com/app/2109380/Furry_Striptease/</a></p><br><h1>About the Game</h1>Hot Hentai - is the simplest 2D puzzle the final goal of which to give you pleasure! <br>The plot of it is simple - you have to find pair cards on the level. After that you will see a stunning image of the nicest game girls. Besides, such games help you to develop your view memory. Do the levels, listen to good music, enjoy the images but the most important is getting pleasure!<br>After doing the whole levels the gallery will be opened where you will enjoy every beautiful lady from the game.<br><br><strong>KEY FEATURES:</strong><br><br><i>- Simple and clear gameplay.<br>- Relaxing soundtrack.<br>- Nice pictures.<br>- An unforgettable experience.</i>","Hot Hentai - is the simplest 2D puzzle the final goal of which to give you pleasure! <br>The plot of it is simple - you have to find pair cards on the level. After that you will see a stunning image of the nicest game girls. Besides, such games help you to develop your view memory. Do the levels, listen to good music, enjoy the images but the most important is getting pleasure!<br>After doing the whole levels the gallery will be opened where you will enjoy every beautiful lady from the game.<br><br><strong>KEY FEATURES:</strong><br><br><i>- Simple and clear gameplay.<br>- Relaxing soundtrack.<br>- Nice pictures.<br>- An unforgettable experience.</i>",Hot Hentai - is the simplest 2D puzzle the final goal of which to give you pleasure!,0
