steam_id,app_id,recommended,hours_played
76561199274606193,493490,Recommended,31.7 hrs on record(31.0 hrs at review time)
76561199274606193,2248760,Recommended,26.9 hrs on record(22.4 hrs at review time)
76561199274606193,1017180,Recommended,129.6 hrs on record(43.8 hrs at review time)
76561199274606193,1677740,Recommended,203.9 hrs on record(12.5 hrs at review time)
76561199274606193,284160,Recommended,71.4 hrs on record(46.4 hrs at review time)
76561198439664609,2151580,Not Recommended,48.8 hrs on record(47.0 hrs at review time)
76561198159423908,2311190,Recommended,1.5 hrs on record
76561198159423908,1092140,Recommended,14.7 hrs on record(1.2 hrs at review time)
76561198159423908,2262770,Recommended,1.4 hrs on record
76561198159423908,2067790,Recommended,5.4 hrs on record
76561198159423908,1119980,Recommended,11.7 hrs on record(8.0 hrs at review time)
76561198159423908,1460220,Recommended,19.4 hrs on record(19.0 hrs at review time)
76561198159423908,374320,Recommended,61.7 hrs on record(7.5 hrs at review time)
76561198159423908,253230,Recommended,45.4 hrs on record(21.4 hrs at review time)
76561198159423908,1304930,Recommended,12.7 hrs on record(3.6 hrs at review time)
76561198159423908,1675140,Recommended,0.2 hrs on record
76561198159423908,1943950,Recommended,27.5 hrs on record(10.6 hrs at review time)
76561198159423908,2232840,Recommended,0.3 hrs on record
76561198159423908,774171,Recommended,19.6 hrs on record(15.5 hrs at review time)
76561198159423908,2079900,Recommended,0.0 hrs on record
76561198159423908,1177660,Not Recommended,23.6 hrs on record(8.5 hrs at review time)
76561198159423908,2166060,Recommended,3.6 hrs on record
76561198159423908,1604000,Recommended,1.9 hrs on record(0.7 hrs at review time)
76561198159423908,1301720,Recommended,8.4 hrs on record
76561198159423908,1392820,Recommended,0.3 hrs on record
76561198159423908,1819180,Recommended,6.2 hrs on record(4.1 hrs at review time)
76561198159423908,1522660,Not Recommended,0.4 hrs on record
76561198159423908,2078040,Recommended,32.3 hrs on record(6.1 hrs at review time)
76561198159423908,1182620,Recommended,2.6 hrs on record(0.7 hrs at review time)
76561198159423908,1112830,Recommended,9.8 hrs on record
76561198159423908,977950,Recommended,62.9 hrs on record(49.0 hrs at review time)
76561198159423908,440880,Recommended,5.8 hrs on record(0.4 hrs at review time)
76561198159423908,1961460,Recommended,52.9 hrs on record(46.7 hrs at review time)
76561198159423908,2237720,Recommended,4.5 hrs on record(3.0 hrs at review time)
76561198159423908,940680,Not Recommended,25.0 hrs on record(17.3 hrs at review time)
76561198159423908,2118130,Recommended,3.4 hrs on record(0.9 hrs at review time)
76561198159423908,1987080,Recommended,39.4 hrs on record(16.9 hrs at review time)
76561198159423908,433340,Recommended,3.8 hrs on record(2.3 hrs at review time)
76561198159423908,446380,Recommended,9.4 hrs on record(3.6 hrs at review time)
76561198159423908,2024300,Recommended,9.5 hrs on record(3.2 hrs at review time)
76561198159423908,1092790,Recommended,39.2 hrs on record(4.3 hrs at review time)
76561198159423908,460950,Recommended,23.0 hrs on record(15.5 hrs at review time)
76561198159423908,456750,Recommended,11.8 hrs on record(3.3 hrs at review time)
76561198159423908,1901370,Recommended,6.6 hrs on record(5.0 hrs at review time)
76561198159423908,521890,Not Recommended,36.2 hrs on record(17.4 hrs at review time)
76561198159423908,1274570,Recommended,193.3 hrs on record(30.3 hrs at review time)
76561198159423908,962400,Recommended,15.8 hrs on record(6.8 hrs at review time)
76561198159423908,1443490,Recommended,2.3 hrs on record
76561198159423908,1426210,Recommended,27.3 hrs on record(11.9 hrs at review time)
76561198159423908,1025250,Recommended,93.0 hrs on record(6.5 hrs at review time)
76561198159423908,1433340,Recommended,11.7 hrs on record(5.6 hrs at review time)
76561198159423908,582500,Recommended,6.5 hrs on record(2.4 hrs at review time)
76561198159423908,839420,Recommended,9.0 hrs on record(2.6 hrs at review time)
76561198159423908,743390,Recommended,2.1 hrs on record
76561198159423908,400,Recommended,18.9 hrs on record(4.0 hrs at review time)
76561198159423908,1049410,Recommended,13.0 hrs on record(5.0 hrs at review time)
76561198159423908,206440,Recommended,3.4 hrs on record
76561198159423908,747660,Recommended,34.8 hrs on record(4.1 hrs at review time)
76561198159423908,1130620,Recommended,23.2 hrs on record(17.1 hrs at review time)
76561198159423908,3590,Recommended,57.4 hrs on record(33.0 hrs at review time)
76561198159423908,1293230,Not Recommended,1.2 hrs on record
76561198159423908,1308840,Recommended,9.0 hrs on record(6.4 hrs at review time)
76561198159423908,1450100,Not Recommended,2.6 hrs on record(0.5 hrs at review time)
76561198159423908,1721470,Not Recommended,4.4 hrs on record(0.8 hrs at review time)
76561198159423908,594330,Recommended,26.3 hrs on record(3.5 hrs at review time)
76561198159423908,1064460,Recommended,14.4 hrs on record(11.7 hrs at review time)
76561198159423908,57300,Recommended,27.9 hrs on record(6.6 hrs at review time)
76561198159423908,418370,Recommended,85.2 hrs on record(5.6 hrs at review time)
76561198159423908,622650,Recommended,22.9 hrs on record(4.8 hrs at review time)
76561198159423908,381210,Recommended,267.4 hrs on record(68.4 hrs at review time)
76561198159423908,668550,Not Recommended,43.4 hrs on record(23.9 hrs at review time)
76561198159423908,732690,Recommended,11.4 hrs on record(9.5 hrs at review time)
